0,3
1,2
2,1
3,3
4,3
5,4
6,2
7,2
8,3
9,3
10,4
11,3
12,4
13,4
14,2
15,4
16,4
17,1
18,3
19,1
20,3
21,4
22,3
23,2
24,4
25,3
26,1
27,3
28,4
29,1
30,1
31,1
32,4
33,4
34,4
35,3
36,3
37,4
38,3
39,1
40,1
41,4
42,3
43,4
44,4
45,4
46,2
47,4
48,3
49,3
50,1
51,3
52,1
53,2
54,4
55,4
56,1
57,3
58,2
59,2
60,2
61,2
62,2
63,3
64,1
65,1
66,4
67,4
68,1
69,2
70,2
71,4
72,2
73,1
74,1
75,4
76,4
77,1
78,1
79,5
80,4
81,2
82,5
83,2
84,4
85,4
86,1
87,2
88,4
89,1
90,1
91,2
92,4
93,2
94,1
95,5
96,4
97,4
98,4
99,2
100,4
101,1
102,5
103,4
104,3
105,4
106,3
107,3
108,4
109,2
110,4
111,4
112,5
113,2
114,4
115,1
116,4
117,4
118,4
119,4
120,1
121,1
122,4
123,4
124,2
125,4
126,5
127,2
128,2
129,5
130,5
131,4
132,4
133,4
134,5
135,2
136,4
137,4
138,3
139,2
140,4
141,3
142,5
143,5
144,4
145,4
146,4
147,2
148,4
149,4
150,4
151,5
152,1
153,1
154,1
155,4
156,4
157,4
158,2
159,2
160,2
161,2
162,4
163,5
164,4
165,2
166,4
167,2
168,2
169,4
170,1
171,2
172,4
173,4
174,2
175,4
176,3
177,4
178,2
179,2
180,4
181,4
182,4
183,4
184,4
185,5
186,4
187,1
188,2
189,2
190,4
191,4
192,3
193,2
194,5
195,4
196,4
197,4
198,4
199,1
200,4
201,4
202,4
203,4
204,4
205,4
206,1
207,1
208,4
209,4
210,4
211,4
212,4
213,4
214,1
215,4
216,2
217,4
218,4
219,2
220,5
221,1
222,2
223,4
224,4
225,4
226,4
227,4
228,2
229,2
230,4
231,2
232,2
233,4
234,4
235,5
236,4
237,4
238,1
239,4
240,2
241,4
242,5
243,2
244,4
245,2
246,4
247,1
248,4
249,2
250,4
251,5
252,3
253,4
254,5
255,2
256,3
257,4
258,4
259,1
260,2
261,4
262,4
263,2
264,5
265,5
266,4
267,4
268,2
269,5
270,4
271,1
272,5
273,3
274,2
275,4
276,2
277,5
278,4
279,4
280,4
281,4
282,1
283,2
284,5
285,4
286,2
287,1
288,4
289,1
290,5
291,1
292,4
293,1
294,2
295,4
296,2
297,2
298,5
299,4
